Accession,Female_Parent,Male_Parent,Cross_Type
CP71-0382,CP61-0039,CP62-0258,biparental
CP71-0404,CP63-0571,CL47-0083,biparental
CP71-0405,CP63-0571,CL47-0083,biparental
CP71-0411,L60-0025,US65-096-0198,biparental
CP71-0421,CP63-0571,CL47-0083,biparental
CP71-0424,CP48-0103,CP63-0561,biparental
CP71-0441,CP63-0571,CL47-0083,biparental
CP71-0471,CP52-0068,CP63-0561,biparental
CP71-1038,CP52-0068,CP56-0059,biparental
CP72-0355,CP52-0068,CP62-0258,biparental
CP72-0356,CP63-0361,CP62-0258,biparental
CP72-0370,CP61-0037,CP52-0068,biparental
CP72-1210,CP65-0357,CP56-0063,biparental
CP72-1312,CP65-0357,CP56-0063,biparental
CP72-1370,,,
CP72-2083,CP62-0374,CP63-0588,biparental
CP72-2086,,,
CP73-0343,CP65-0357,L65-0069,biparental
CP73-0350,CP65-0357,L65-0069,biparental
CP73-0351,CP65-0357,L65-0069,biparental
CP73-1311,CP52-0068,CP63-0588,biparental
CP73-1547,,,
CP74-0328,CP65-0357,L62-0086,biparental
CP74-0385,CP65-0357,L65-0069,biparental
CP74-0387,CP65-0357,L65-0069,biparental
CP74-0398,CP65-0357,CP57-0614,biparental
CP75-0308,CP66-0346,L65-0069,biparental
CP75-0360,CP67-0430,L62-0096,biparental
CP75-1091,CP68-1067,CP70-1133,biparental
CP75-1632,,,
CP76-0301,CP52-0068,CP67-0412,biparental
CP76-0331,CP65-0357,L65-0069,biparental
CP76-0356,CP66-0346,CP67-0424,biparental
CP77-0310,CP52-0068,L65-0069,biparental
CP77-0402,CP71-0404,CP71-0405,biparental
CP77-0403,CP71-0404,CP69-0338,biparental
CP77-0407,CP71-0421,CP66-0315,biparental
CP77-0413,CP69-0380,CP71-0411,biparental
CP77-0414,CP69-0380,CP71-0471,biparental
CP78-0304,CP65-0357,CP71-0441,biparental
CP78-0317,CP71-0441,L65-0069,biparental
CP78-1610,CP68-1067,CP68-1022,biparental
CP78Poly08,,,
CP79-0301,CP65-0357,L65-0069,biparental
CP79-0318,CP65-0357,L65-0069,biparental
CP79-0332,CP71-0318,CP70-0300,biparental
CP79-0348,CP74-0398,US70-16-3,biparental
CP80-0313,CP65-0357,CP71-0424,biparental
CP80-0323,CP70-0321,CP66-0346,biparental
CP80-0356,CP70-0300,CP66-0346,biparental
CP80-1151,CP70-1133,CP72-1370,biparental
CP80-1743,CP72-2083,CP68-1067,biparental
CP80-1827,CP70-1133,CP73-1311,biparental
CP81-0316,CP65-0357,L65-0069,biparental
CP81-0325,CP71-0318,CP73-0343,biparental
CP81-0332,unknown,unknown,self
CP81-1238,,,
CP81-1254,CP72-1210,CP78Poly08,biparental
CP81Poly01,,,
CP82-0513,CP61-0039,CP72-0355,biparental
CP82-1172,,,
CP82-1592,CP72-1210,CP70-1133,biparental
CP82-2043,CP72-1312,CP77-0407,biparental
CP82Poly01,,,
CP83-0601,CP72-0370,CP73-0351,biparental
CP83-0632,CP74-0387,CP75-0360,biparental
CP83-0644,CP74-0385,CP63-0588,biparental
CP83-0657,CP70-0321,CP77-0414,biparental
CP83-1969,,,
CP84-0722,CP70-1133,CP73-0350,biparental
CP84-0742,CP70-1133,CP73-0350,biparental
CP84-1198,CP70-1133,CP72-2086,biparental
CP84-1322,CP52-0068,CP72-2086,biparental
CP84-1591,,,
CP85-0830,CP74-0387,CP77-0407,biparental
CP85-1308,,,
CP85-1491,,,
CP85Poly06,,,
CP86-0941,CP76-0356,CP78-0304,biparental
CP87-0661,Ho79-0011,CP78-0304,biparental
CP87-1475,CP80-1151,CP72-1210,biparental
CP87-1733,,,
CP87-1737,,,
CP88-1162,,,
CP88-1762,CP80-1743,CP85Poly06,biparental
CP88-2045,NG77-0132,CP70-1133,biparental
CP89-0825,CP70-0321,CP75-0308,biparental
CP89-0831,CP72-0370,CP76-0331,biparental
CP89-0837,CP81-0316,CP76-0301,biparental
CP89-0846,CP81-0325,CP78-0304,biparental
CP89-0889,CP79-0318,Ho80-0024,biparental
CP89-1509,,,
CP89-2143,,,
CP89-2372,CP70-1133,CP43-0047,biparental
CP89Poly03,,,
CP90-0956,CP70-0330,LCP81-0030,biparental
CP90-1030,,,
CP90-1204,,,
CP90-1233,,,
CP90-1436,CP81-0332,CP78-1610,biparental
CP90-1533,NG57-252,88P06,biparental
CP90-1538,,,
CP90-1549,,,
CP91-1696,,,
CP91-1980,,,
CP91-2234,,,
CP91-2410,,,
CP92-1167,CP84-1591,SP70-1143,biparental
CP92-1666,CP82-1592,CP84-1322,biparental
CP93-1382,CP82-2043,CL73-0239,biparental
CP94-1100,CP81-1238,CP88-2045,biparental
CP94-1200,CP83-1969,CP80-1743,biparental
CP94-1528,CP72-2086,91P13,biparental
CP94-1607,CP87-1733,CP85-1491,biparental
CP94-1952,CP91-2410,CP84-1198,biparental
CP94-2045,CP89-2372,CP80-1827,biparental
CP94-2059,CP87-1475,CP85-1308,biparental
CP94-2095,CP87-1737,CP72-1210,biparental
CP94-2203,unknown,US90-1072,biparental
CP95-1039,CP81-1238,CP84-1198,biparental
CP95-1569,CP87-1475,CP70-1133,biparental
CP95--2318,,,
CP96-1252,CP90-1538,CP84-1198,
CP96-1310,CP75-1091,CP84-1198,biparental
CP96-1865,,,
CP97-1362,CP91-2234,CL72-0321,biparental
CP97-1387,CP90-1533,CL61-0620,biparental
CP97-1777,CP90-1233,CP57-0603,
CP97-1989,CP75-1091,CL61-0620,biparental
CP97-2068,CP90-1204,CP90-1436,biparental
