"id","totalbiomass","ratooningability","averagebrix","observed"
"CP19-2338",2498.41,0.4449,19.9936,FALSE
"CP19-2426",2568.71,0.4421,19.7698,FALSE
"CP19-4012",2277.63,0.4449,20.1769,FALSE
"CP19-4034",2370.09,0.4394,19.993,FALSE
"CP19-4099",2445.08,0.4436,19.9572,FALSE
"CP19-4154",2463.44,0.4522,19.9274,FALSE
"CP19-4215",2458.06,0.4435,20.0707,FALSE
"CP19-4291",2422.25,0.4457,20.1293,FALSE
"CP19-4312",2422.25,0.4457,20.1293,FALSE
"CP19-4366",2424.99,0.443,19.9729,FALSE
"CP19-4398",2487.28,0.4487,19.9886,FALSE
"CP19-4471",2349.77,0.4422,20.1484,FALSE
"CP19-4524",2339.14,0.4409,19.8638,FALSE
"CP19-4565",2407.58,0.4485,19.8236,FALSE
"CP19-4593",2407.58,0.4485,19.8236,FALSE
"CP19-4681",2498.41,0.4449,19.9936,FALSE
"CP19-4825",2359.24,0.4429,20.061,FALSE
"CP21-1218",2458.06,0.4435,20.0707,FALSE
"CP21-1466",2458.06,0.4435,20.0707,FALSE
"CP21-1591",2458.06,0.4435,20.0707,FALSE
"CP21-1717",2458.06,0.4435,20.0707,FALSE
"CP21-1940",2458.06,0.4435,20.0707,FALSE
"CP21-2274",2458.06,0.4435,20.0707,FALSE
"CP21-2400",2458.06,0.4435,20.0707,FALSE
"CP21-2457",2458.06,0.4435,20.0707,FALSE
"CP21-2485",2458.06,0.4435,20.0707,FALSE
"CP52-0048",2334.09,0.4451,19.9592,FALSE
"CP72-2086",1981.28,0.4275,19.7189,TRUE
"CP73-1547",2299.42,0.4449,19.9371,FALSE
"CP85-1491",2614.36,0.4473,19.9718,FALSE
"CP89-2143",2125.92,0.4411,20.1255,TRUE
"CP96-1252",2379.46,0.4553,19.2191,TRUE
"CP97-1777",2279.3,0.4343,20.1423,FALSE
"CPCL01-0877",2458.06,0.4435,20.0707,FALSE
"CPCL02-0926",2207.99,0.4506,20.0508,TRUE
"CPCL02-6848",2332.77,0.4497,20.4511,TRUE
"CPCL02-8147",2458.06,0.4435,20.0707,FALSE
"CPCL02-8149",2458.06,0.4435,20.0707,FALSE
"CPCL05-1102",2285.06,0.4397,20.3043,TRUE
"CPCL05-1201",2450.8,0.4561,19.5931,TRUE
"CPCL05-1791",2228.29,0.4502,19.7978,TRUE
"CPCL13-4046",2362.01,0.4497,19.6959,FALSE
"CPCL14-4066",2418,0.4427,20.1291,FALSE
"CPCL95-2287",2725.45,0.4414,20.1954,TRUE
"CPCL97-0393",2608.49,0.4489,19.9538,FALSE
"CPCL97-2730",2392.14,0.4425,19.8752,FALSE
"CPCL99-2651",2458.06,0.4435,20.0707,FALSE
"CPF-0249",2458.06,0.4435,20.0707,FALSE
"CPF-0250",2458.06,0.4435,20.0707,FALSE
"CR00-026",2458.06,0.4435,20.0707,FALSE
"CR03-0038",2458.06,0.4435,20.0707,FALSE
"CR04-0001",2458.06,0.4435,20.0707,FALSE
"CR94-1006",2458.06,0.4435,20.0707,FALSE
"CR95-1007",2458.06,0.4435,20.0707,FALSE
"CR97-1008",2458.06,0.4435,20.0707,FALSE
"CSSG-0032",2458.06,0.4435,20.0707,FALSE
"CSSG-0033",2458.06,0.4435,20.0707,FALSE
"Ho11-0573",2340.07,0.4442,19.989,FALSE
"Ho12-0616",2366.53,0.4451,19.9147,FALSE
"Ho12-0627",2334.37,0.4442,20.0041,FALSE
"Ho12-0630",2357.93,0.4441,20.0069,FALSE
"Ho13-0739",2362.76,0.444,20.022,FALSE
"Ho14-0722",2458.06,0.4435,20.0707,FALSE
"Ho16-0600",2354.29,0.4443,19.9913,FALSE
"Ho16-0603",2354.29,0.4443,19.9913,FALSE
"Ho16-0637",2323.16,0.4446,19.9899,FALSE
"Ho16-0663",2323.23,0.4447,19.9798,FALSE
"Ho16-0666",2352.33,0.4442,20.0077,FALSE
"Ho17-0722",2364.83,0.4436,20.0287,FALSE
"Ho17-0723",2307.77,0.4456,19.907,FALSE
"Ho17-0760",2331.07,0.4446,19.9947,FALSE
"Ho17-0762",2342.26,0.4447,19.9544,FALSE
"Ho18-0878",2348.78,0.4453,19.9389,FALSE
"HoCP04-0838",2328.31,0.4446,19.9858,FALSE
"HoCP04-0852",2335.18,0.4449,20.0138,FALSE
"HoCP09-0804",2363.22,0.4445,20.0108,FALSE
"HoCP14-0885",2362.93,0.444,20.0243,FALSE
"HoCP15-0543",2320.42,0.4492,19.9788,FALSE
"HoCP16-0674",2328.87,0.445,19.9834,FALSE
"HoCP17-0710",2359.03,0.4445,20.0066,FALSE
"HoCP17-0714",2352.88,0.4441,20.0054,FALSE
"HoSG-0031",2458.06,0.4435,20.0707,FALSE
"HoSG-0315",2458.06,0.4435,20.0707,FALSE
"IK76-0065",2458.06,0.4435,20.0707,FALSE
"LF5651",2458.06,0.4435,20.0707,FALSE
"LF65-3611",2458.06,0.4435,20.0707,FALSE
"M1392/00",2458.06,0.4435,20.0707,FALSE
"M1989/99",2458.06,0.4435,20.0707,FALSE
"MQ724005",2458.06,0.4435,20.0707,FALSE
"N22",2458.06,0.4435,20.0707,FALSE
"N37",2458.06,0.4435,20.0707,FALSE
"N41",2458.06,0.4435,20.0707,FALSE
"N49",2458.06,0.4435,20.0707,FALSE
"N53",2458.06,0.4435,20.0707,FALSE
"N55",2458.06,0.4435,20.0707,FALSE
"N58",2458.06,0.4435,20.0707,FALSE
"NA011806",2458.06,0.4435,20.0707,FALSE
"NA01640",2458.06,0.4435,20.0707,FALSE
"NA033300",2458.06,0.4435,20.0707,FALSE
"NA041992",2458.06,0.4435,20.0707,FALSE
"NA05-0811",2458.06,0.4435,20.0707,FALSE
"NA051673",2458.06,0.4435,20.0707,FALSE
"NA052115",2458.06,0.4435,20.0707,FALSE
"NA052748",2458.06,0.4435,20.0707,FALSE
"NA0559",2458.06,0.4435,20.0707,FALSE
"NG51-0105",2458.06,0.4435,20.0707,FALSE
"NG51-058",2458.06,0.4435,20.0707,FALSE
"NSG-0197",2458.06,0.4435,20.0707,FALSE
"Q196",2458.06,0.4435,20.0707,FALSE
"Q208",2458.06,0.4435,20.0707,FALSE
"Q232",2458.06,0.4435,20.0707,FALSE
"Q234",2458.06,0.4435,20.0707,FALSE
"Q235",2458.06,0.4435,20.0707,FALSE
"R575",2458.06,0.4435,20.0707,FALSE
"R584",2458.06,0.4435,20.0707,FALSE
"R95/2202",2458.06,0.4435,20.0707,FALSE
"Raiatea",2458.06,0.4435,20.0707,FALSE
"SP89-1115",2458.06,0.4435,20.0707,FALSE
"SP90-1638",2458.06,0.4435,20.0707,FALSE
"SP91-1049",2458.06,0.4435,20.0707,FALSE
"SP91-1397",2458.06,0.4435,20.0707,FALSE
"US21-0006",2458.06,0.4435,20.0707,FALSE
"US67-22-2",2458.06,0.4435,20.0707,FALSE
"US74-1315",2458.06,0.4435,20.0707,FALSE
"US84-1058",2458.06,0.4435,20.0707,FALSE
"US87-1019",2458.06,0.4435,20.0707,FALSE
