Accession,Female_Parent,Male_Parent,Cross_Type
HoCP05-0902,HoCP95-0950,HoCP96-0540,biparental
HoCP05-0918,Ho94-0856,HoCP90-0941,biparental
HoCP05-0920,Ho94-0856,HoCP90-0941,biparental
HoCP05-0923,CP89-0837,HoCP93-0750,biparental
HoCP09-0804,HoCP02-0625,HoCP01-0523,biparental
HoCP09-0814,L00-0266,HoCP01-0553,biparental
HoCP09-0847,HoCP00-0938,HoCP96-0540,biparental
HoCP09-0857,CP89-0831,Ho93-0770,biparental
HoCP10-0900,HoCP99-0825,HoCP99-0866,biparental
HoCP10-0905,HoCP99-0825,HoCP99-0866,biparental
HoCP11-0544,HoCP04-0843,06P17,biparental
HoCP12-0666,HoCP04-0856,06P38,biparental
HoCP12-0676,CPCL00-0458,HoCP01-0517,biparental
HoCP85-0845,CP72-0370,CP77-0403,biparental
HoCP92-0624,CP81-0325,CP71-1038,biparental
HoCP92-0674,CP83-0606,LCP81-0030,biparental
HoCP93-0746,LCP81-0010,CP82-0513,biparental
HoCP96-0540,LCP86-0454,LCP85-0384,biparental
HoL05-0953,TucCP77-0042,HoCP92-0618,biparental
ISD30,NA,NA,NA
L03-0371,CP83-0644,LCP82-0089,biparental
L03-0391,unknown,CP78-0317,biparental
L08-0090,HoCP91-0552,L99-0226,biparental
L93-0365,CP78-0304,CP72-2086,biparental
L97-0128,LCP81-0010,LCP85-0384,biparental
L99-0226,CP89-0846,LCP81-0030,biparental
LCP85-0384,CP77-0310,CP77-0407,biparental
Mix 07 I,NA,NA,NA
Mix 07 Q,NA,NA,NA
Mix 07 U,NA,NA,NA
Mix 08-B,NA,NA,NA
MX10-01,NA,NA,NA
N37,NA,NA,NA
POLY06-30,NA,NA,NA
POLY06-35,NA,NA,NA
POLY07-04,NA,NA,NA
POLY08-19,NA,NA,NA
POLY09-16,NA,NA,NA
POLY09-23,NA,NA,NA
POLY09-24,NA,NA,NA
POLY09-25,NA,NA,NA
POLY09-26,NA,NA,NA
POLY10-04,NA,NA,NA
POLY10-09,NA,NA,NA
POLY10-18,NA,NA,NA
POLY11-14,NA,NA,NA
POLY13-009,NA,NA,NA
POLY13-011,NA,NA,NA
POLY13-012,NA,NA,NA
POLY14-021,NA,NA,NA
Q196,NA,NA,NA
TCP00-4518,TCP88-3448,TCP89-3513,biparental
TCP98-4454,NA,NA,NA
Tuc89-0028,NA,NA,NA
TucCP77-0042,CP71-0321,Ho72-0019,biparental
unknown,NA,unknown,NA
01P04,NA,NA,NA
01P3,NA,NA,NA
02P24,NA,NA,NA
03P24,NA,NA,NA
03P29,NA,NA,NA
04P02,NA,NA,NA
06P17,NA,NA,NA
06P38,NA,NA,NA
91P13,NA,NA,NA
95P8,NA,NA,NA
CL41-0223,F31-0436,F31-0452,biparental
CL47-0083,CL41-0223,unknown,biparental
CL47-0143,CL41-0114,CL41-0142,biparental
CL61-0620,CP48-0120,CL54-1910,biparental
CL86-5687,NA,NA,NA
CL87-2882,NA,NA,NA
CL88-2747,NA,NA,NA
CL88-4730,NA,NA,NA
CL89-5189,NA,NA,NA
CL89-5457,CL79-2243,Mix88-L,biparental
CL90-4500,NA,NA,NA
CL90-4725,NA,NA,NA
CL90-5017,NA,NA,NA
CL93-1858,NA,NA,NA
CL93-2679,NA,NA,NA
CL93-5185,NA,NA,NA
CL95-5255,NA,NA,NA
CL96-4527,NA,NA,NA
CP00-1301,CP75-1632,CP89-2143,biparental
CP00-1630,NA,NA,NA
CP00-1830,NA,NA,NA
CP00-2188,CP90-1549,CP90-1549,self
CP01-2365,CP94-2045,CP95-1569,biparental
CP01-2390,CP95-2318,CP94-1528,biparental
CP01-2459,NA,NA,NA
CP02-1143,CP93-1382,CP92-1666,biparental
CP03-1026,CP98-1119,CP92-1167,biparental
CP04-1252,CP97-2068,CP97-1362,biparental
CP05-1451,CP84-1198,CP88-1762,biparental
CP06-2614,CP94-2059,CP84-1591,biparental
CP08-2409,US02-0099,POLY06-47,biparental
CP1161,CP0670,unknown,biparental
CP33-0030,CP28-0116,CP29-0138,biparental
CP36-0105,Co281,CP1165,biparental
CP38-0034,Co421,CP27-0156,biparental
CP52-0001,CP29-0103,CP33-0229,biparental
CP52-0068,CP29-0320,CP38-0034,biparental
CP53-0017,F36-0819,CP48-0126,biparental
CP56-0063,CL47-0083,CP36-0105,biparental
CP57-0603,CL47-0143,CL47-0083,biparental
CP57-0614,CL47-0143,CP53-0017,biparental
CP62-0374,CP53-0018,CP33-0224,biparental
CP63-0588,CL54-1910,CP57-0120,biparental
CP65-0357,CP52-0068,CP53-0017,biparental
CP66-0315,CP52-0068,CP53-0017,biparental
CP67Poly06,NA,NA,NA
CP68-1067,CP52-0068,CP57-0603,biparental
CP70-1133,CP56-0063,CP67Poly06,biparental
CP71-0321,CP52-0068,CP62-0258,biparental
CP71-0421,CP63-0571,CL47-0083,biparental
CP71-1038,CP52-0068,CP56-0059,biparental
CP72-0370,CP61-0037,CP52-0068,biparental
CP72-1210,CP65-0357,CP56-0063,biparental
CP72-2083,CP62-0374,CP63-0588,biparental
CP72-2086,CP62-0374,CP63-0588,biparental
CP75-1632,NA,NA,NA
CP77-0310,CP52-0068,L65-0069,biparental
CP77-0403,CP71-0404,CP69-0338,biparental
CP77-0407,CP71-0421,CP66-0315,biparental
CP78-0304,CP65-0357,CP71-0441,biparental
CP78-0317,CP71-0441,L65-0069,biparental
CP78Poly08,NA,NA,NA
CP80-1743,CP72-2083,CP68-1067,biparental
CP81-0325,CP71-0318,CP73-0343,biparental
CP81-1238,NA,NA,NA
CP81-1254,CP72-1210,CP78Poly08,biparental
CP82-0513,CP61-0039,CP72-0355,biparental
CP82-1172,NA,NA,NA
CP83-0606,CP74-0385,CP72-0370,biparental
CP83-0644,CP74-0385,CP63-0588,biparental
CP83-1969,NA,NA,NA
CP84-1198,CP70-1133,CP72-2086,biparental
CP84-1322,CP52-0068,CP72-2086,biparental
CP84-1591,NA,NA,NA
CP85-1308,NA,NA,NA
CP85-1491,NA,NA,NA
CP85Poly06,NA,NA,NA
CP87-1475,CP80-1151,CP72-1210,biparental
CP87-1628,NA,NA,NA
CP87-1737,NA,NA,NA
CP88-1162,NA,NA,NA
CP88-1762,CP80-1743,CP85Poly06,biparental
CP88-2045,NG77-0132,CP70-1133,biparental
CP89-0831,CP72-0370,CP76-0331,biparental
CP89-0837,CP81-0316,CP76-0301,biparental
CP89-0846,CP81-0325,CP78-0304,biparental
CP89-2143,CP81-1254,CP72-2086,biparental
CP90-1030,NA,NA,NA
CP90-1204,NA,NA,NA
CP90-1233,NA,NA,NA
CP90-1436,CP81-0332,CP78-1610,biparental
CP90-1533,NG57-252,88P06,biparental
CP90-1538,NA,NA,NA
CP90-1549,NA,NA,NA
CP91-1980,NA,NA,NA
CP92-1167,CP84-1591,SP70-1143,biparental
CP94-1100,CP81-1238,CP88-2045,biparental
CP94-1200,CP83-1969,CP80-1743,biparental
CP94-1528,CP72-2086,91P13,biparental
CP94-1607,CP87-1733,CP85-1491,biparental
CP94-1952,CP91-2410,CP84-1198,biparental
CP94-2059,CP87-1475,CP85-1308,biparental
CP94-2095,CP87-1737,CP72-1210,biparental
CP94-2203,unknown,US90-1072,biparental
CP95-1039,CP81-1238,CP84-1198,biparental
CP95-1569,CP87-1475,CP70-1133,biparental
CP95-2318,CP87-1628,US90-1090,biparental
CP96-1252,CP90-1538,CP84-1198,biparental
CP97-1362,CP91-2234,CL72-0321,biparental
CP97-1989,CP75-1091,CL61-0620,biparental
CP97-2068,CP90-1204,CP90-1436,biparental
CP98-1029,CP91-1980,CP94-1952,biparental
CP98-1119,CL61-0620,US87-1006,biparental
CP98-1325,CP90-1030,95P8,biparental
CP99-1896,CP90-1204,CP90-1436,biparental
CPCL00-0458,CPCL87-2882,CL89-5189,biparental
CPCL00-4027,NA,NA,NA
CPCL00-6756,NA,NA,NA
CPCL02-0796,CP80-1743,POLY01-8,biparental
CPCL02-8021,CP96-1252,CL89-5457,biparental
CPCL05-1050,CL86-5687,CL95-5255,biparental
CPCL97-0393,NA,NA,NA
CPCL99-2103,NA,NA,NA
Ho06-9017,HoCP99-0839,Ho00-0011,biparental
